TRANSMISSION,Avg_CO2_Emissions,Avg_Fuel_Consumption_L100km,Total_Registrations
A7,336.0,16.11027397260274,1
AM6,297.0,18.233333333333334,1
AS8,293.7,18.915071209188447,10
A8,276.0,19.600833333333334,1
AM7,269.75,20.35831959966292,4
A6,246.55555555555554,22.514467933209005,9
AS6,236.66666666666666,23.753990739112748,12
AS9,225.0,24.001020408163264,1
A9,218.0,24.758947368421055,1
A5,213.0,26.069826312576314,3
M6,205.0,26.42808988764045,1
AV8,202.0,26.72840909090909,1
AV6,189.0,28.684146341463418,1
A4,172.5,31.383650595979365,2
AV,161.0,33.60142857142857,1
