VEHICLECLASS,Avg_CO2_Emissions,Avg_Fuel_Consumption_L100km,Total_Registrations
SUBCOMPACT,294.0,18.77582294507207,4
TWO-SEATER,292.25,18.892906378304748,4
SUV - STANDARD,287.0,18.89976030799801,3
MINICOMPACT,265.25,21.45074845970376,4
MID-SIZE,258.55555555555554,22.563225913731905,9
MINIVAN,252.0,21.50233344464852,2
FULL-SIZE,251.0,21.578899082568807,1
SUV - SMALL,235.92857142857142,23.257956318562403,14
COMPACT,192.0,28.511834307253825,7
STATION WAGON - SMALL,172.0,31.361333333333334,1
