date_reg,type,maker,model,colour,fuel,state,MODELYEAR,MAKE,MODEL,VEHICLECLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,FUELTYPE,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,CO2EMISSIONS,has_emission_data,fuel_consumption_L100km,Car_Age,CO2_Emission_Category
2025-01-01,motokar,PORSCHE,911 CARRERA,grey,petrol,Johor,2014.0,PORSCHE,911 CARRERA,MINICOMPACT,3.4,6.0,AM7,Z,11.6,8.3,10.1,28.0,232.0,True,23.28811881188119,11.0,Medium Emission
2025-01-02,motokar,HONDA,CIVIC,white,petrol,Selangor,2014.0,HONDA,CIVIC,COMPACT,1.8,4.0,AV,X,7.9,6.0,7.0,40.0,161.0,True,33.60142857142857,11.0,Low Emission
2025-01-02,jip,MAZDA,CX-5,grey,petrol,Rakan Niaga,2014.0,MAZDA,CX-5,SUV - SMALL,2.0,4.0,AS6,X,8.9,7.3,8.2,34.0,189.0,True,28.684146341463418,11.0,Low Emission
2025-01-02,motokar,MAZDA,MX-5,silver,petrol,Rakan Niaga,2014.0,MAZDA,MX-5,TWO-SEATER,2.0,4.0,AS6,Z,11.5,8.5,10.2,28.0,235.0,True,23.05980392156863,11.0,Medium Emission
2025-01-02,motokar,PORSCHE,911 GT3,yellow,petrol,W.P. Kuala Lumpur,2014.0,PORSCHE,911 GT3,TWO-SEATER,3.8,6.0,AM7,Z,16.0,11.5,14.0,20.0,322.0,True,16.800714285714285,11.0,High Emission
2025-01-02,jip,PORSCHE,CAYENNE,orange,petrol,Selangor,2014.0,PORSCHE,CAYENNE,SUV - STANDARD,3.6,6.0,A8,Z,13.6,10.1,12.0,24.0,276.0,True,19.600833333333334,11.0,High Emission
2025-01-02,motokar,SUBARU,BRZ,blue,petrol,Selangor,2014.0,SUBARU,BRZ,MINICOMPACT,2.0,4.0,AS6,Z,9.6,7.1,8.5,33.0,196.0,True,27.671764705882353,11.0,Low Emission
2025-01-02,motokar,TOYOTA,YARIS,white,petrol,Rakan Niaga,2014.0,TOYOTA,YARIS,COMPACT,1.5,4.0,A4,X,7.9,6.6,7.3,39.0,168.0,True,32.22054794520548,11.0,Low Emission
2025-01-03,jip,HONDA,CR-V,blue,petrol,Rakan Niaga,2014.0,HONDA,CR-V,SUV - SMALL,2.4,4.0,A5,X,10.3,7.6,9.1,31.0,209.0,True,25.84725274725275,11.0,Low Emission
2025-01-03,motokar,PORSCHE,PANAMERA,white,petrol,W.P. Kuala Lumpur,2014.0,PORSCHE,PANAMERA,FULL-SIZE,3.6,6.0,AM7,Z,12.9,8.4,10.9,26.0,251.0,True,21.578899082568807,11.0,Medium Emission
2025-01-06,window_van,HONDA,ODYSSEY,white,petrol,W.P. Kuala Lumpur,2014.0,HONDA,ODYSSEY,MINIVAN,3.5,6.0,A6,X,12.3,8.5,10.6,27.0,244.0,True,22.189622641509434,11.0,Medium Emission
2025-01-07,jip,VOLKSWAGEN,TIGUAN,black,petrol,W.P. Kuala Lumpur,2014.0,VOLKSWAGEN,TIGUAN,SUV - SMALL,2.0,4.0,A6,Z,11.7,9.5,10.7,26.0,246.0,True,21.982242990654207,11.0,Medium Emission
2025-01-07,jip,VOLVO,XC60,white,hybrid_petrol,Rakan Niaga,2014.0,VOLVO,XC60,SUV - SMALL,3.2,6.0,AS6,X,13.0,8.9,11.2,25.0,258.0,True,21.00089285714286,11.0,Medium Emission
2025-01-08,jip,LAND ROVER,RANGE ROVER EVOQUE,white,petrol,Pulau Pinang,2014.0,LAND ROVER,RANGE ROVER EVOQUE,SUV - SMALL,2.0,4.0,AS9,Z,11.3,7.9,9.8,29.0,225.0,True,24.001020408163264,11.0,Medium Emission
2025-01-08,motokar,PORSCHE,911 TURBO,grey,petrol,Johor,2014.0,PORSCHE,911 TURBO,MINICOMPACT,3.8,6.0,AM7,Z,13.7,9.6,11.9,24.0,274.0,True,19.765546218487394,11.0,High Emission
2025-01-08,motokar,TOYOTA,COROLLA,white,petrol,Rakan Niaga,2014.0,TOYOTA,COROLLA,MID-SIZE,1.8,4.0,A4,X,8.6,6.5,7.7,37.0,177.0,True,30.546753246753248,11.0,Low Emission
2025-01-09,motokar,BENTLEY,CONTINENTAL GT,grey,petrol,W.P. Kuala Lumpur,2014.0,BENTLEY,CONTINENTAL GT,SUBCOMPACT,4.0,8.0,AS8,Z,15.4,9.8,12.9,22.0,297.0,True,18.233333333333334,11.0,High Emission
2025-01-10,jip,KIA,SPORTAGE,grey,petrol,Johor,2014.0,KIA,SPORTAGE,SUV - SMALL,2.4,4.0,A6,X,11.4,8.3,10.0,28.0,230.0,True,23.521,11.0,Medium Emission
2025-01-10,motokar,VOLVO,S60,silver,petrol,Perak,2014.0,VOLVO,S60,COMPACT,2.5,5.0,AS6,X,11.3,7.8,9.7,29.0,223.0,True,24.248453608247424,11.0,Medium Emission
2025-01-16,jip,AUDI,Q5,black,petrol,W.P. Kuala Lumpur,2014.0,AUDI,Q5,SUV - SMALL,2.0,4.0,AS8,Z,12.0,8.5,10.4,27.0,239.0,True,22.616346153846155,11.0,Medium Emission
2025-01-16,motokar,NISSAN,GT-R,white,petrol,Johor,2014.0,NISSAN,GT-R,SUBCOMPACT,3.8,6.0,AM6,Z,14.5,10.9,12.9,22.0,297.0,True,18.233333333333334,11.0,High Emission
2025-01-17,motokar,FORD,MUSTANG,blue,petrol,Selangor,2014.0,FORD,MUSTANG,SUBCOMPACT,3.7,6.0,A6,X,12.1,7.8,10.2,28.0,235.0,True,23.05980392156863,11.0,Medium Emission
2025-01-17,motokar,TOYOTA,CAMRY,black,petrol,Rakan Niaga,2014.0,TOYOTA,CAMRY,MID-SIZE,2.5,4.0,AS6,X,9.5,6.6,8.2,34.0,189.0,True,28.684146341463418,11.0,Low Emission
2025-01-22,jip,HYUNDAI,SANTA FE,grey,hybrid_petrol,Rakan Niaga,2014.0,HYUNDAI,SANTA FE,SUV - SMALL,3.3,6.0,A6,X,13.0,9.1,11.2,25.0,258.0,True,21.00089285714286,11.0,Medium Emission
